OBJECTID *,name,x,y,z,floor
271, ,607914.623,4822381.294,125.4595,1
272, ,607914.0599,4822385.662,125.5767,1
273, ,607914.0599,4822385.662,125.5767,1
274, ,607914.2579,4822388.932,125.6584,1
275, ,607914.2579,4822388.932,125.6584,1
276, ,607916.3602,4822393.875,125.7482,1
277, ,607916.3602,4822393.875,125.7482,1
278, ,607922.3185,4822401.907,125.7872,1
279, ,607934.2352,4822417.969,125.7664,1
280, ,607938.0181,4822423.068,125.8073,1
281, ,607928.2768,4822409.938,125.7614,1
282, ,607934.2352,4822417.969,125.7664,1
283, ,607922.3185,4822401.907,125.7872,1
284, ,607928.2768,4822409.938,125.7614,1
285, ,607938.0181,4822423.068,125.8073,1
286, ,607943.9765,4822431.099,125.7897,1
287, ,607943.9765,4822431.099,125.7897,1
288, ,607945.2125,4822432.765,125.7563,1
289, ,607945.2125,4822432.765,125.7563,1
290, ,607949.1644,4822438.261,125.5074,1
291, ,607914.2579,4822388.932,125.6584,1
292, ,607910.8601,4822389.61,125.7072,1
293, ,607910.8601,4822389.61,125.7072,1
294, ,607901.0537,4822391.568,125.8148,1
295, ,607881.4409,4822395.485,125.7943,1
296, ,607876.2065,4822396.53,125.7661,1
297, ,607891.2473,4822393.526,125.8442,1
298, ,607881.4409,4822395.485,125.7943,1
299, ,607901.0537,4822391.568,125.8148,1
300, ,607891.2473,4822393.526,125.8442,1
301, ,607876.2065,4822396.53,125.7661,1
302, ,607876.4819,4822401.011,125.8565,1
303, ,607876.4819,4822401.011,125.8565,1
304, ,607875.312,4822404.425,125.9072,1
305, ,607875.312,4822404.425,125.9072,1
306, ,607871.9333,4822411.036,125.9454,1
307, ,607871.9333,4822411.036,125.9454,1
308, ,607868.1115,4822416.051,125.9117,1
309, ,607868.1115,4822416.051,125.9117,1
310, ,607864.5469,4822417.638,125.9156,1
311, ,607864.5469,4822417.638,125.9156,1
312, Putnam Residence,607861.8635,4822418.184,125.9386,1
313, ,607861.8635,4822418.184,125.9386,1
314, ,607857.9875,4822418.022,125.9741,1
315, ,607857.9875,4822418.022,125.9741,1
316, ,607853.6919,4822416.82,125.9922,1
317, ,607853.6919,4822416.82,125.9922,1
318, ,607850.922,4822415.209,125.998,1
319, ,607850.922,4822415.209,125.998,1
320, ,607848.554,4822412.216,126.0053,1
321, ,607848.554,4822412.216,126.0053,1
322, ,607847.5063,4822410.033,126.0057,1
323, ,607847.5063,4822410.033,126.0057,1
324, ,607846.8823,4822407.123,126.0046,1
325, ,607846.8823,4822407.123,126.0046,1
326, ,607846.7923,4822403.167,126.0113,1
327, ,607846.7923,4822403.167,126.0113,1
328, ,607850.7292,4822393.975,125.9973,1
329, ,607850.7292,4822393.975,125.9973,1
330, ,607851.1158,4822393.072,125.9884,1
331, ,607851.1158,4822393.072,125.9884,1
332, ,607853.1692,4822390.494,125.933,1
333, ,607853.1692,4822390.494,125.933,1
334, ,607856.5292,4822388.571,125.8158,1
335, ,607856.5292,4822388.571,125.8158,1
336, ,607858.814,4822387.686,125.7362,1
337, ,607858.814,4822387.686,125.7362,1
338, ,607861.2732,4822387.014,125.662,1
339, ,607861.2732,4822387.014,125.662,1
340, ,607865.1347,4822387.576,125.5887,1
341, ,607865.1347,4822387.576,125.5887,1
342, ,607869.2422,4822388.919,125.5702,1
343, ,607869.2422,4822388.919,125.5702,1
344, ,607872.3897,4822391.17,125.6203,1
345, ,607872.3897,4822391.17,125.6203,1
346, ,607875.0517,4822393.967,125.7015,1
347, ,607875.0517,4822393.967,125.7015,1
348, ,607876.2065,4822396.53,125.7661,1
349, ,607896.8564,4822322.298,125.5066,1
350, ,607895.3478,4822322.652,125.4937,1
351, ,607895.3478,4822322.652,125.4937,1
352, ,607894.2849,4822323.424,125.4663,1
353, ,607894.2849,4822323.424,125.4663,1
354, ,607889.605,4822332.261,125.2086,1
355, ,607889.605,4822332.261,125.2086,1
356, ,607888.335,4822334.659,125.1623,1
357, ,607888.335,4822334.659,125.1623,1
358, ,607888.0291,4822336.598,125.1424,1
359, ,607888.0291,4822336.598,125.1424,1
360, ,607888.6242,4822338.285,125.1361,1
361, ,607888.6242,4822338.285,125.1361,1
362, ,607890.0624,4822339.297,125.1415,1
363, ,607890.0624,4822339.297,125.1415,1
364, ,607898.3395,4822344.909,125.1137,1
365, ,607898.3395,4822344.909,125.1137,1
366, ,607906.6166,4822350.52,125.0683,1
367, ,607923.1708,4822361.743,125.0924,1
368, ,607924.5859,4822362.703,125.0978,1
369, ,607914.8937,4822356.132,125.0639,1
370, ,607923.1708,4822361.743,125.0924,1
371, ,607906.6166,4822350.52,125.0683,1
372, ,607914.8937,4822356.132,125.0639,1
373, ,607924.5859,4822362.703,125.0978,1
374, ,607933.1278,4822367.902,125.1065,1
375, ,607950.2117,4822378.301,125.0887,1
376, ,607958.7536,4822383.501,125.0797,1
377, ,607941.6697,4822373.102,125.0872,1
378, ,607950.2117,4822378.301,125.0887,1
379, ,607933.1278,4822367.902,125.1065,1
380, ,607941.6697,4822373.102,125.0872,1
381, ,607975.8374,4822393.9,125.032,1
382, ,607981.345,4822397.253,125.0212,1
383, ,607967.2955,4822388.701,125.0468,1
384, ,607975.8374,4822393.9,125.032,1
385, ,607958.7536,4822383.501,125.0797,1
386, ,607967.2955,4822388.701,125.0468,1
387, ,607981.345,4822397.253,125.0212,1
388, ,607986.7689,4822388.851,125.0045,1
389, ,607986.7689,4822388.851,125.0045,1
390, ,607990.4025,4822383.223,124.9991,1
391, ,607990.4025,4822383.223,124.9991,1
392, ,607995.2226,4822374.462,124.9967,1
393, ,607995.2226,4822374.462,124.9967,1
394, ,607996.8117,4822371.573,124.7509,1
395, ,607996.8117,4822371.573,124.7509,1
396, ,607997.1193,4822369.023,124.5919,1
397, ,607997.1193,4822369.023,124.5919,1
398, ,607996.5696,4822366.526,124.4896,1
399, ,607996.5696,4822366.526,124.4896,1
400, ,607994.5579,4822363.994,124.4294,1
401, ,607994.5579,4822363.994,124.4294,1
402, ,607986.1984,4822358.506,124.3662,1
403, ,607944.4007,4822331.066,124.1752,1
404, ,607943.7677,4822330.65,124.1922,1
405, ,607943.752,4822330.64,124.1927,1
406, ,607943.7508,4822330.639,124.1927,1
407, ,607943.7677,4822330.65,124.1922,1
408, ,607943.752,4822330.64,124.1927,1
409, ,607952.7602,4822336.554,124.128,1
410, ,607944.4007,4822331.066,124.1752,1
411, ,607961.1198,4822342.042,124.3125,1
412, ,607952.7602,4822336.554,124.128,1
413, ,607969.4793,4822347.53,124.3743,1
414, ,607961.1198,4822342.042,124.3125,1
415, ,607977.8388,4822353.018,124.3723,1
416, ,607969.4793,4822347.53,124.3743,1
417, ,607986.1984,4822358.506,124.3662,1
418, ,607977.8388,4822353.018,124.3723,1
419, ,607990.4025,4822383.223,124.9991,1
420, ,607982.1086,4822377.637,124.9481,1
421, ,607940.6392,4822349.703,124.9042,1
422, ,607934.733,4822345.725,124.9102,1
423, ,607948.9331,4822355.29,124.8913,1
424, ,607940.6392,4822349.703,124.9042,1
425, ,607957.227,4822360.876,124.8213,1
426, ,607948.9331,4822355.29,124.8913,1
427, ,607965.5208,4822366.463,124.9246,1
428, ,607957.227,4822360.876,124.8213,1
429, ,607973.8147,4822372.05,124.9241,1
430, ,607965.5208,4822366.463,124.9246,1
431, ,607982.1086,4822377.637,124.9481,1
432, ,607973.8147,4822372.05,124.9241,1
433, ,607934.733,4822345.725,124.9102,1
434, ,607926.2734,4822340.392,124.9634,1
435, ,607900.8947,4822324.395,125.4345,1
436, ,607898.7994,4822323.074,125.4843,1
437, ,607909.3542,4822329.727,125.2042,1
438, ,607900.8947,4822324.395,125.4345,1
439, ,607917.8138,4822335.06,125.0444,1
440, ,607909.3542,4822329.727,125.2042,1
441, ,607926.2734,4822340.392,124.9634,1
442, ,607917.8138,4822335.06,125.0444,1
443, ,607898.7994,4822323.074,125.4843,1
444, ,607896.8564,4822322.298,125.5066,1
445,The Collegeway,608202.7271,4822213.452,110.3902,1
446,The Collegeway,608195.7047,4822206.333,110.1963,1
