OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
115,Polyline Z,1.59536,0.58701,unknown,sidewalk,10.000031,608012.2788,4822322.754,122.846,608004.0245,4822317.109,122.788,1
116,Polyline Z,6.841964,6.27491,unknown,sidewalk,4.807841,607995.7703,4822311.463,122.333,607991.8018,4822308.749,122.0313,1
117,Polyline Z,6.652676,4.550782,unknown,sidewalk,9.999949,608004.0245,4822317.109,122.788,607995.7703,4822311.463,122.333,1
118,Polyline Z,2.832535,1.096761,unknown,sidewalk,6.396464,607991.8018,4822308.749,122.0313,607985.9695,4822306.123,122.0477,1
119,Polyline Z,5.031584,4.598333,unknown,sidewalk,4.991054,607985.9695,4822306.123,122.0477,607980.989,4822305.798,122.2772,1
120,Polyline Z,5.462478,5.111966,unknown,sidewalk,5.013908,607980.989,4822305.798,122.2772,607976.0464,4822306.641,122.5335,1
121,Polyline Z,4.573494,3.988064,unknown,sidewalk,6.693911,607976.0464,4822306.641,122.5335,607970.0982,4822309.711,122.8004,1
122,Polyline Z,5.796033,2.716546,unknown,sidewalk,10.000023,607970.0982,4822309.711,122.8004,607961.6572,4822315.073,123.0721,1
123,Polyline Z,8.424507,7.528782,unknown,sidewalk,8.327693,607961.6572,4822315.073,123.0721,607954.6278,4822319.538,123.699,1
124,Polyline Z,5.656956,3.512102,unknown,sidewalk,4.39992,607954.6278,4822319.538,123.699,607951.3008,4822322.418,123.8535,1
125,Polyline Z,2.251937,2.224067,unknown,sidewalk,1.337432,607951.3008,4822322.418,123.8535,607950.3962,4822323.403,123.8832,1
126,Polyline Z,4.280649,3.134608,unknown,sidewalk,9.699466,607950.3962,4822323.403,123.8832,607943.8356,4822330.547,124.1873,1
127,Polyline Z,4.356761,4.356761,unknown,sidewalk,0.125341,607943.8356,4822330.547,124.1873,607943.7508,4822330.639,124.1927,1
128,Polyline Z,3.93489,3.93489,unknown,sidewalk,0.032739,607943.7508,4822330.639,124.1927,607943.734,4822330.667,124.194,1
129,Polyline Z,4.501285,4.283878,unknown,sidewalk,9.967271,607943.734,4822330.667,124.194,607938.6198,4822339.223,124.621,1
130,Polyline Z,4.422073,3.817738,unknown,sidewalk,7.575257,607938.6198,4822339.223,124.621,607934.733,4822345.725,124.9102,1
131,Polyline Z,2.662094,1.231607,unknown,sidewalk,10.000029,607934.733,4822345.725,124.9102,607929.6028,4822354.308,125.0333,1
132,Polyline Z,0.811675,0.65874,unknown,sidewalk,9.779155,607929.6028,4822354.308,125.0333,607924.5859,4822362.703,125.0978,1
