OBJECTID *,start_x,start_y,start_z,end_x,end_y,end_z
310,607864.5469,4822417.638,125.9156,607861.8635,4822418.184,125.9386
311,607861.8635,4822418.184,125.9386,607857.9875,4822418.022,125.9741
312,607861.8635,4822418.184,125.9386,607857.9875,4822418.022,125.9741
313,607857.9875,4822418.022,125.9741,607853.6919,4822416.82,125.9922
314,607857.9875,4822418.022,125.9741,607853.6919,4822416.82,125.9922
315,607853.6919,4822416.82,125.9922,607850.922,4822415.209,125.998
316,607853.6919,4822416.82,125.9922,607850.922,4822415.209,125.998
317,607850.922,4822415.209,125.998,607848.554,4822412.216,126.0053
318,607850.922,4822415.209,125.998,607848.554,4822412.216,126.0053
319,607848.554,4822412.216,126.0053,607847.5063,4822410.033,126.0057
320,607848.554,4822412.216,126.0053,607847.5063,4822410.033,126.0057
321,607847.5063,4822410.033,126.0057,607846.8823,4822407.123,126.0046
322,607847.5063,4822410.033,126.0057,607846.8823,4822407.123,126.0046
323,607846.8823,4822407.123,126.0046,607846.7923,4822403.167,126.0113
324,607846.8823,4822407.123,126.0046,607846.7923,4822403.167,126.0113
325,607846.7923,4822403.167,126.0113,607850.7292,4822393.975,125.9973
326,607846.7923,4822403.167,126.0113,607850.7292,4822393.975,125.9973
327,607850.7292,4822393.975,125.9973,607851.1158,4822393.072,125.9884
328,607850.7292,4822393.975,125.9973,607851.1158,4822393.072,125.9884
329,607851.1158,4822393.072,125.9884,607853.1692,4822390.494,125.933
330,607851.1158,4822393.072,125.9884,607853.1692,4822390.494,125.933
331,607853.1692,4822390.494,125.933,607856.5292,4822388.571,125.8158
332,607853.1692,4822390.494,125.933,607856.5292,4822388.571,125.8158
333,607856.5292,4822388.571,125.8158,607858.814,4822387.686,125.7362
334,607856.5292,4822388.571,125.8158,607858.814,4822387.686,125.7362
335,607858.814,4822387.686,125.7362,607861.2732,4822387.014,125.662
336,607858.814,4822387.686,125.7362,607861.2732,4822387.014,125.662
337,607861.2732,4822387.014,125.662,607865.1347,4822387.576,125.5887
338,607861.2732,4822387.014,125.662,607865.1347,4822387.576,125.5887
339,607865.1347,4822387.576,125.5887,607869.2422,4822388.919,125.5702
340,607865.1347,4822387.576,125.5887,607869.2422,4822388.919,125.5702
341,607869.2422,4822388.919,125.5702,607872.3897,4822391.17,125.6203
342,607869.2422,4822388.919,125.5702,607872.3897,4822391.17,125.6203
343,607872.3897,4822391.17,125.6203,607875.0517,4822393.967,125.7015
344,607872.3897,4822391.17,125.6203,607875.0517,4822393.967,125.7015
345,607875.0517,4822393.967,125.7015,607876.2065,4822396.53,125.7661
346,607875.0517,4822393.967,125.7015,607876.2065,4822396.53,125.7661
347,607896.8564,4822322.298,125.5066,607895.3478,4822322.652,125.4937
348,607896.8564,4822322.298,125.5066,607895.3478,4822322.652,125.4937
349,607895.3478,4822322.652,125.4937,607894.2849,4822323.424,125.4663
350,607895.3478,4822322.652,125.4937,607894.2849,4822323.424,125.4663
351,607894.2849,4822323.424,125.4663,607889.605,4822332.261,125.2086
